"id","golfer_id","score","course_name","created_at","updated_at"
328,15,38.00,"Robert A. Black","2009-09-22 00:00:00",NULL
329,6,42.00,"Robert A. Black","2009-09-29 00:00:00",NULL
330,1,37.00,"Robert A. Black","2009-09-29 00:00:00",NULL
331,13,38.00,"Robert A. Black","2009-09-29 00:00:00",NULL
332,2,39.00,"Robert A. Black","2009-09-29 00:00:00",NULL
333,3,43.00,"Robert A. Black","2009-09-29 00:00:00",NULL
334,4,37.00,"Robert A. Black","2009-09-29 00:00:00",NULL
335,5,40.00,"Robert A. Black","2009-09-29 00:00:00",NULL
336,12,44.00,"Robert A. Black","2009-09-29 00:00:00",NULL
337,10,37.00,"Robert A. Black","2009-09-29 00:00:00",NULL
338,1,35.00,"Robert A. Black","2009-10-10 00:00:00",NULL
339,9,42.00,"Robert A. Black","2009-10-10 00:00:00",NULL
340,14,32.00,"Robert A. Black","2009-10-10 00:00:00",NULL
341,6,38.00,"Robert A. Black","2009-10-10 00:00:00",NULL
342,12,41.00,"Robert A. Black","2009-10-10 00:00:00",NULL
343,10,46.00,"Robert A. Black","2009-10-10 00:00:00",NULL
344,13,37.00,"Robert A. Black","2009-10-10 00:00:00",NULL
345,7,41.00,"Robert A. Black","2009-10-10 00:00:00",NULL
346,2,40.00,"Robert A. Black","2009-10-10 00:00:00",NULL
347,5,46.00,"Robert A. Black","2009-10-10 00:00:00",NULL
348,11,43.00,"Robert A. Black","2009-10-10 00:00:00",NULL
349,13,43.00,"Robert A. Black","2009-10-13 00:00:00",NULL
350,2,38.00,"Robert A. Black","2009-10-13 00:00:00",NULL
351,3,49.00,"Robert A. Black","2009-10-13 00:00:00",NULL
352,4,39.00,"Robert A. Black","2009-10-13 00:00:00",NULL
353,7,37.00,"Robert A. Black","2009-10-13 00:00:00",NULL
354,13,39.00,"Robert A. Black","2009-10-20 00:00:00",NULL
355,11,43.00,"Robert A. Black","2009-10-20 00:00:00",NULL
356,2,39.00,"Robert A. Black","2009-10-20 00:00:00",NULL
357,3,46.00,"Robert A. Black","2009-10-20 00:00:00",NULL
358,4,34.00,"Robert A. Black","2009-10-20 00:00:00",NULL
